"astro-ph/0610425","David Merritt","David Merritt, Stefan Harfst, Gianfranco Bertone","Collisionally Regenerated Dark Matter Structures in Galactic Nuclei","11 pages, uses revtex4","Phys.Rev. D75 (2007) 043517","10.1103/PhysRevD.75.043517",,"astro-ph hep-ph",,"  We show that the presence of a rho~1/r^{3/2} dark matter overdensity can be
robustly predicted at the center of any galaxy old enough to have grown a
power-law density cusp in the stars via the Bahcall-Wolf mechanism. Using both
Fokker-Planck and direct N-body integrations, we demonstrate collisional
generation of these dark matter ""crests"" (Collisionally REgenerated
STtructures) even in the extreme case that the density of both stars and dark
matter were previously lowered by slingshot ejection from a binary supermassive
black hole. The time scale for collisional growth of the crest is approximately
the two-body relaxation time as defined by the stars, which is < 10 Gyr at the
centers of stellar spheroids with luminosities comparable to that of the Milky
Way bulge or less. The presence of crests can robustly be predicted in such
galaxies, unlike the steeper enhancements, called ""spikes,"" produced by the
adiabatic growth of black holes. We discuss special cases where the prospects
for detecting dark matter annihilations from the centers of galaxy haloes are
significantly affected by the formation of crests.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 15:07:36 GMT""}]","2009-11-11"
"hep-ex/0610046","Alexander Barabash S.","A.S. Barabash, Ph. Hubert, A. Nachab and V. Umatov","Search for $\beta^+$EC and ECEC processes in $^{74}$Se","13 pages, 2 figures; presented at the 2-nd Symposium on ""Neutrino and
  Dark Matter in Nuclear Physics"" (Paris, September 3-9, 2006); v3: minor
  changes","Nucl.Phys.A785:371-380,2007","10.1016/j.nuclphysa.2007.01.002",,"hep-ex",,"  For the first time, limits on double-beta processes in $^{74}$Se have been
obtained using a 400 cm$^3$ HPGe detector and an external source consisting of
natural selenium powder.
  At a confidence level of 90%, they are $1.9\times 10^{18}$ y for the
$\beta^+$EC$(0\nu + 2\nu)$ transition to the ground state, $7.7\times 10^{18}$
y for the ECEC($2\nu$) transition to the $2^+_1$ excited state in $^{74}$Ge
(595.8 keV), $1.1\times 10^{19}$ y for the ECEC($0\nu$) transition to the
$2^+_1$ excited state in $^{74}$Ge (595.8 keV) and $5.5\times 10^{18}$ y for
the ECEC($2\nu$) and ECEC($0\nu$) transitions to the $2^+_2$ excited state in
$^{74}$Ge (1204.2 keV). The last transition is discussed in association with a
possible enhancement of the decay rate, in this case by several orders of
magnitude, because the ECEC$(0\nu)$ process is nearly degenerate with an
excited state in the daughter nuclide. Prospects for investigating such
processes in future experiments are discussed.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:53:57 GMT""},{""version"":""v2"",""created"":""Fri, 20 Oct 2006 10:04:22 GMT""},{""version"":""v3"",""created"":""Wed, 25 Oct 2006 11:48:36 GMT""}]","2008-11-26"
"hep-ex/0610047","Steven R. Blusk","Steven Blusk (for the CLEO Collaboration)","Hadronic Charm Decays in CLEO","5 pages, 4 figures. Proceedings of the XXXIIIth International
  Conference on High Energy Physics (ICHEP06), Moscow, Russia, July 26-Aug 2,
  2006",,,,"hep-ex",,"  We present several results on hadronic D meson decays. We report on results
from the scan of the energy region from 3970 MeV to 4260 MeV, which was used to
determine an optimal energy to carry out the D_s physics program of CLEO-c.
Improved measurements of inclusive and exclusive D and D_s branching fractions
are presented. We also show results on Dalitz analyses of D^+-->pi^+pi^-pi^+
using CLEO-c data and D^0--> K^+K^-pi^0 using CLEO III data.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 14:47:40 GMT""}]","2019-08-14"
"hep-ex/0610048","Steven R. Blusk","Steven Blusk (for the CLEO Collaboration)","Cabibbo-Allowed and Doubly Cabibbo Suppressed D -->K pi Decays","5 pages, 2 figures. Proceedings of the XXXIII-th International
  Conference on High Energy Physics (ICHEP06), Moscow, Russia (July 26-Aug 2,
  2006)",,"10.1142/9789812790873_0166",,"hep-ex",,"  We present measurements of the branching fractions of the decays,
D-->K^0_{S,L}pi. The measured asymmetry shows that B(D^0--> K^0_S pi^0) is not
equal to B(D^0--> K^0_L pi^0), as expected. We also find that B(D^+ --> K^0_S
pi^+) is statistically compatible with B(D^+ --> K^0_L pi^+). Lastly, we
present a recent measurement of the branching fraction of the doubly
Cabibbo-suppressed decay, D^+ --> K^+ pi^0.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 14:45:06 GMT""}]","2019-08-14"
"hep-lat/0610092","G. Peter Lepage","E. Follana, Q. Mason, C. Davies, K. Hornbostel, G. P. Lepage, J.
  Shigemitsu, H. Trottier, K. Wong","Highly Improved Staggered Quarks on the Lattice, with Applications to
  Charm Physics","21 pages, 8 figures, 5 tables","Phys.Rev.D75:054502,2007","10.1103/PhysRevD.75.054502",,"hep-lat",,"  We use perturbative Symanzik improvement to create a new staggered-quark
action (HISQ) that has greatly reduced one-loop taste-exchange errors, no
tree-level order a^2 errors, and no tree-level order (am)^4 errors to leading
order in the quark's velocity v/c. We demonstrate with simulations that the
resulting action has taste-exchange interactions that are at least 3--4 times
smaller than the widely used ASQTAD action. We show how to estimate errors due
to taste exchange by comparing ASQTAD and HISQ simulations, and demonstrate
with simulations that such errors are no more than 1% when HISQ is used for
light quarks at lattice spacings of 1/10 fm or less. The suppression of (am)^4
errors also makes HISQ the most accurate discretization currently available for
simulating c quarks. We demonstrate this in a new analysis of the psi-eta_c
mass splitting using the HISQ action on lattices where a m_c=0.43 and 0.66,
with full-QCD gluon configurations (from MILC). We obtain a result of~111(5)
MeV which compares well with experiment. We discuss applications of this
formalism to D physics and present our first high-precision results for D_s
mesons.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 16:20:44 GMT""}]","2008-11-26"
"hep-lat/0610093","Konstantin Petrov","V.K. Petrov","Asymptotic transition from Fourier series to integrals in LGT",,,,,"hep-lat",,"  It is shown that in asymptotic transition from Fourier series to integrals an
error and ambiguity may arise. Ambiguity reduces to a possibility of addition
of some distribution to the result. Properties of such distributions are
studied and conditions are established under which ambiguity doesn't arise.
Method for correction computation is suggested and conditions for correction
turning to zero are specified.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 16:29:44 GMT""}]","2007-05-23"
"hep-lat/0610094","Stephen R. Sharpe","Stephen R. Sharpe","Rooted staggered fermions: good, bad or ugly?","Plenary talk at Lattice 2006 (42 pages, 6 figures, 2 appendices)","PoS LAT2006:022,2006",,,"hep-lat hep-ph hep-th",,"  I give a status report on the validity of the so-called ``fourth-root
trick'', i.e. the procedure of representing the determinant for a single
fermion by the fourth root of the staggered fermion determinant. This has been
used by the MILC collaboration to create a large ensemble of lattices using
which many quantities of physical interest have been and are being calculated.
It is also used extensively in studies of QCD thermodynamics. The main question
is whether the theory so defined has the correct continuum limit. There has
been significant recent progress towards answering this question. After
recalling the issue, and putting it into a broader context of results from
statistical mechanics, I critically review the new work. I also address the
related issue of the impact of treating valence and sea quarks differently in
rooted simulations, discuss whether rooted simulations at finite temperature
and density are subject to additional concerns, and briefly update results for
quark masses using the MILC configurations. An answer to the question in the
title is proposed in the summary.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 19:56:47 GMT""}]","2011-05-05"
"hep-ph/0610173","Abdelhak Djouadi","Abdelhak Djouadi, Gregory Moreau, Francois Richard","Resolving the A_{FB}^b puzzle in an extra dimensional model with an
  extended gauge structure","23 pages, 5 figures","Nucl.Phys.B773:43-64,2007","10.1016/j.nuclphysb.2007.03.019","LPT-Orsay 06/060, LAL-Orsay 06/144","hep-ph hep-ex",,"  It is notorious that, contrary to all other precision electroweak data, the
forward-backward asymmetry for b quarks $A_{FB}^b$ measured in Z decays at LEP1
is nearly three standard deviations away from the predicted value in the
Standard Model; significant deviations also occur in measurements of the
asymmetry off the Z pole. We show that these discrepancies can be resolved in a
variant of the Randall-Sundrum extra-dimensional model in which the gauge
structure is extended to $SU(2)_L \times SU(2)_R \times U(1)_X$ to allow for
relatively light Kaluza-Klein excitations of the gauge bosons. In this
scenario, the fermions are localized differently along the extra dimension, in
order to generate the fermion mass hierarchies, so that the electroweak
interactions for the heavy third generation fermions are naturally different
from the light fermion ones. We show that the mixing between the Z boson with
the Kaluza-Klein excitations allows to explain the $A_{FB}^b$ anomaly without
affecting (and even improving) the agreement of the other precision
observables, including the $Z \to bb$ partial decay width, with experimental
data. Some implications of this scenario for the ILC are summarized.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:10:11 GMT""}]","2008-11-26"
"hep-ph/0610185","Abolfazl Mirjalili","A.Mirjalili and K.Keshavarzian","New approach in the extracting of parton densities, based on the
  parameterized solution of inverse Mellin technique","6 pages, 2 figures, Talk presented at IPM-LHP06, Tehran, Iran; PSN:
  IPM-LHP06-19May","ECONFC0605151:0015,2006",,,"hep-ph",,"  We analysis the sea quark densities, based on the constituent quark model. To
perform a direct fit with available experimental data, the parameterized
Inverse Mellin technique is used. The calculation is extended to the NLO
approximation for the singlet and non-singlet cases in DIS phenomena. We employ
the approach of complete RG improvement(CORGI) where one is forced to identify
and resum to all-orders RG-predictable ultraviolet logarithm terms which truly
build the Q-dependence of QCD observable. The results are compared with the
standard approach of perturbative QCD in the ${\bar{MS}}$ scheme with a
physical choice of scale. The results in the CORGI approach indicate a better
agreement to the data.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 21:51:10 GMT""}]","2008-11-26"
"hep-ph/0610186","Takayuki Matsuki","Takayuki Matsuki, Toshiyuki Morii, and Kazutaka Sudoh","Radial Excitations of Heavy Mesons","3 pages, 1 figure, QNP06 conference report","Eur.Phys.J.A31:701-704,2007","10.1140/epja/i2006-10287-1",,"hep-ph hep-ex",,"  Recent discovery of D_s states suggests existence of radial excitations. Our
semirelativistic quark potential model succeeds in reproducing these staes
within one to two percent of accuracy compared with the experiments, D_s0(2860)
and D_s^*(2715), which are identified as 0^+ and 1^- radial excitations (n=2).
We also present calculations of radial excitations for B/B_s heavy mesons.
Relation between our formulation and the modified Goldberger-Treiman relation
is also described.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 05:52:53 GMT""},{""version"":""v2"",""created"":""Mon, 23 Oct 2006 00:52:24 GMT""},{""version"":""v3"",""created"":""Thu, 8 Feb 2007 00:56:15 GMT""}]","2008-11-26"
"hep-ph/0610187","Sergey Goloskokov","S.V.Goloskokov","Diffractive vector meson leptoproduction and spin effects","7 pages, 7 figures, report at the DIFFRACTION-06 workshop, Milos
  island, September 5 - 10, 2006","PoSDIFF2006:033,2006",,,"hep-ph",,"  We analyse spin effects in diffractive vector meson leptoproduction at small
$x$ on the basis of the generalized parton distribution (GPD) approach. We take
into account quark transverse degrees of freedom in the hard subprocess. We
calculate amplitudes for the longitudinally and transversely polarized photons
and vector mesons. Our results on the cross section and spin density matrix
elements (SDME) are in fair agreement with the DESY experiments. Predictions
for HERMES and COMPASS energy range are made. The predicted double spin
longitudinal $A_{LL}$ asymmetry is not small at HERMES energies
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 06:43:02 GMT""}]","2008-11-26"
"hep-ph/0610188","George Rupp","George Rupp and Eef van Beveren","Multichannel calculation of the very narrow $D_{s0}^*(2317)$ and the
  very broad $D_0^*(2300-2400)$","3 pages, EPJ LaTeX, 2 Postscript figures, 1 table; parallel talk at
  the IVth International Conference on Quarks and Nuclear Physics (QNP06),
  Madrid, 5-10 June 2006","Eur.Phys.J.A31:698-700,2007","10.1140/epja/i2006-10269-3",,"hep-ph",,"  The narrow $D_{s0}^{\ast}$(2317) and broad $D_0^{\ast}$(2300-2400) charmed
scalar mesons and their radial excitations are described in a coupled-channel
quark model that also reproduces the properties of the light scalar nonet. All
two-meson channels containing ground-state pseudoscalars and vectors are
included. The parameters are chosen fixed at published values, except for the
overall coupling constant $\lambda$, which is fine-tuned to reproduce the
$D_{s0}^{\ast}$(2317) mass, and a damping constant $\alpha$ for subthreshold
contributions. Variations of $\lambda$ and $D_0^{\ast}$(2300-2400) pole
postions are studied for different $\alpha$ values. Calculated cross sections
for $S$-wave $DK$ and $D\pi$ scattering, as well as resonance pole positions,
are given for the value of $\alpha$ that fits the light scalars. The thus
predicted radially excited state ${D_{s0}^*}'$(2850), with a width of about 50
MeV, seems to have been observed already.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:16:54 GMT""}]","2008-11-26"
"hep-ph/0610189","Olivier Leitner","O. Leitner and Z.J. Ajaltouni","Testing CP and Time Reversal Symmetries with $\Lambda_b \to \Lambda
  V(1-)$ Decays","4 pages, 1 figure, 3 tables. Talk given at the 13th International QCD
  Conference 3-7th July 2006 Montpellier (France)","Nucl.Phys.Proc.Suppl.174:169-172,2007","10.1016/j.nuclphysbps.2007.08.117","PCCF-RI-0606","hep-ph",,"  In this letter, an overview is given for interesting tests of both CP and
Time Reversal symmetries with the beauty baryon $\Lambda_b $. Extensive use of
the helicity formalism and HQET is done for all calculations. Then, emphasis is
put on sophisticated methods like analysis of resonance polarizations and
particular angle distributions which can exhibit a clear signal of TR
violation.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:39:21 GMT""}]","2008-11-26"
"hep-ph/0610190","Pierpaolo Mastrolia","Pierpaolo Mastrolia","Twistors and Unitarity","4 pages, talk given at IFAE 2006, Pavia, April 19-21 2006",,,,"hep-ph",,"  We review on the recent developments for the computation of scattering
amplitudes, with attention to the on-shell formalisms and unitarity-based
methods.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:50:09 GMT""}]","2007-05-23"
"hep-ph/0610191","Piotr Zenczykowski","P. Zenczykowski (Institute of Nuclear Physics, Polish Academy of
  Sciences, Krakow, Poland)","Radiative and nonleptonic hyperon decays in broken SU(3)","Talk given at 7th International Conference on Hyperons, Charm and
  Beauty Hadrons (BEACH2006), Lancaster, U.K., 2 - 8 July 2006, ; 4 pages, uses
  espcrc2.sty","Nucl.Phys.Proc.Suppl.167:54-57,2007","10.1016/j.nuclphysbps.2006.12.043",,"hep-ph",,"  We report on the recently proposed joint resolution of two long-standing
puzzles in weak radiative (WR) and nonleptonic (NL) hyperon decays (HD). First,
a good VMD-based description of WRHD is presented. In particular, the large
negative asymmetry observed in the \Sigma^+ \to p \gamma decay is explained
through a calculably large SU(3)-breaking effect in the relevant
parity-violating amplitude. Second, the achieved description of the
parity-violating WRHD amplitudes permits the extraction, via the SU(2)_W + VMD
route, of the non-soft-pion correction term in the parity-violating NLHD
amplitudes. The latter subtracts a substantial amount from the current-algebra
commutator term, thus leading to the resolution of the old S:P discrepancy in
NLHD.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:23:44 GMT""}]","2008-11-26"
"hep-ph/0610192","Thorsten Feldmann","Thorsten Feldmann (Univ. Siegen)","Recent Developments in Soft-Collinear Effective Theory","Extended version of proceedings contribution to ICHEP06, Moscow, July
  2006. 6 pages, 3 figures, using ws-procs10x7.cls, a few references added",,,"Siegen preprint SI-HEP-2006-11","hep-ph",,"  Soft-collinear effective theory provides a systematic theoretical framework
to describe the factorization of short- and long-distance QCD dynamics in
hard-scattering processes that contain both, soft and energetic particles/jets.
I present a short guide to recent theoretical achievements and to
phenomenological applications in heavy B-meson decays.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:25:59 GMT""},{""version"":""v2"",""created"":""Wed, 8 Nov 2006 16:06:37 GMT""}]","2007-05-23"
"hep-ph/0610193","B. L. G. Bakker","A.M. Badalian and Yu.A. Simonov, (Institute of Theoretical and
  Experimental Physics, Moscow, Russia) B.L.G. Bakker, (Vrije Universiteit,
  Amsterdam, The Netherlands)","Masses and decay constants of B_q mesons in the QCD string approach","9 pages, ICHEP 2006",,"10.1142/9789812790873_0234",,"hep-ph",,"  The relativistic string Hamiltonian is used to calculate the masses and decay
constants of $B_q$ mesons: they appear to be expressed through onlythree
fundamental values: the string tension $\sigma $, $\alpha_s$, and the quark
pole masses. The values $f_B =186 $ MeV, $f_{B_s}= 222$ MeV are calculated
while $f_{B_c}$ depends on the $c$-quark pole mass used, namely $f_{B_c}=440
(424)$ MeV for $m_c =1.40 (1.35)$ GeV. For the $1P$ states we predict the
spin-averaged masses: $\bar M(B_J)=5730$ MeV and $\bar M(B_{sJ})=5830$ MeV
which are in good agreement with the recent data of the D0 and CDF
Collaborations, at the same time owning to the string correction being by $\sim
50$ MeV smaller than in other calculations.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:00:57 GMT""}]","2017-08-23"
"hep-ph/0610194","Valentina Porretti","V.Porretti","Minimal Lepton Flavour Violation and leptogenesis","4 pages, talk presented at ICHEP06, Moscow, July 26 - August 2, 2006",,,,"hep-ph",,"  We study the role of leptogenesis in the framework of minimal lepton flavour
violation.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:39:11 GMT""}]","2007-05-23"
"hep-ph/0610195","Georg Wolschin","Rolf Kuiper and Georg Wolschin","From RHIC to LHC: A relativistic diffusion approach","17 pages, 8 figures","AnnalenPhys.16:67-77,2007","10.1002/andp.200610225",,"hep-ph",,"  We investigate the energy dependence of stopping and hadron production in
high-energy heavy-ion collisions based on a three-sources Relativistic
Diffusion Model. The transport coefficients are extrapolated from Au + Au and
Cu + Cu at RHIC energies (sqrt{s_NN)=19.6 - 200 GeV) to Pb + Pb at LHC energies
sqrt{s_NN)= 5.52 TeV. Rapidity distributions for net protons, and
pseudorapidity spectra for produced charged particles in central collisions are
compared to data at RHIC energies, and discussed for several extrapolations to
LHC energies.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:57:10 GMT""}]","2008-11-26"
"hep-ph/0610196","Abhijit Samanta","Abhijit Samanta","The mass hierarchy with atmospheric neutrinos at INO","some clarifications added, version accepted in PLB, 12 pages, 34
  figures","Phys.Lett.B673:37-46,2009","10.1016/j.physletb.2009.01.067",,"hep-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We study the neutrino mass hierarchy at the magnetized Iron CALorimeter
(ICAL) detector at India-based Neutrino Observatory with atmospheric neutrino
events generated by the Monte Carlo event generator Nuance. We judicially
choose the observables so that the possible systematic uncertainties can be
reduced. The resolution as a function of both energy and zenith angle
simultaneously is obtained for neutrinos and anti-neutrinos separately from
thousand years un-oscillated atmospheric neutrino events at ICAL to migrate
number of events from neutrino energy and zenith angle bins to muon energy and
zenith angle bins. The resonance ranges in terms of directly measurable
quantities like muon energy and zenith angle are found using this resolution
function at different input values of $\theta_{13}$. Then, the marginalized
$\chi^2$s are studied for different input values of $\theta_{13}$ with its
resonance ranges taking input data in muon energy and zenith angle bins.
Finally, we find that the mass hierarchy can be explored up to a lower value of
$\theta_{13}\approx 5^\circ$ with confidence level $>$ 95% in this set up.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 10:47:40 GMT""},{""version"":""v2"",""created"":""Wed, 10 Sep 2008 15:13:56 GMT""},{""version"":""v3"",""created"":""Thu, 29 Jan 2009 14:42:29 GMT""}]","2009-10-16"
"hep-ph/0610198","Alexei Smirnov Yu","A. Yu. Smirnov","Neutrino oscillations: what is magic about the ""magic"" baseline?","LaTeX, 12 pages, no figures; discussions of 1-3 mixing corrections
  and effects in non-uniform medium are substantially expanded; typos corrected",,,,"hep-ph hep-ex",,"  Physics interpretation of the ``magic'' baseline, $L_{magic}$, that can play
important role in future oscillation experiments is given. The ``magic''
baseline coincides with the refraction length, $l_0$. The latter, in turn,
approximately equals the oscillation length in matter at high energies.
Therefore at the baseline $L = l_0$ the oscillation phase is $2\pi$, and
consequently, the ``solar'' amplitude of oscillations driven by $\theta_{12}$
and $\Delta m^2_{21}$ vanishes. As a result, in the lowest order (i) the
interference of amplitudes in the $\nu_e - \nu_\mu$ $(\nu_\tau)$ transition
probability is absent; (ii) dependence of the probability on the CP-phase,
$\delta$, as well as on $\theta_{12}$ and $\Delta m^2_{21}$ disappears.
Corrections to the equality $L_{magic} = l_0$ are estimated. Effect of changing
density is considered and two new magic trajectories are identified for
neutrinos that cross the core of the Earth. Other magic baselines associated
with zeros of the atmospheric amplitude are discussed.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 15:12:02 GMT""},{""version"":""v2"",""created"":""Mon, 30 Oct 2006 18:09:53 GMT""}]","2007-05-23"
"hep-ph/0610199","Eef van Beveren","Eef van Beveren and George Rupp","Scalar and axial-vector mesons","13 pages, 3 Postscript figures; plenary talk at the IVth
  International Conference on Quarks and Nuclear Physics (QNP06), Madrid, 5-10
  June 2006; v2: correction w.r.t. the work of Ref. 87; v3: Ref. 87 corrected;
  v4: small corrections","Eur.Phys.J.A31:468-473,2007","10.1140/epja/i2006-10186-5",,"hep-ph",,"  Nowadays, there exists an abundance of theoretical approaches towards the
mesonic spectrum, ranging from confinement models of all kinds, i.e.,
glueballs, and quark-antiquark, multiquark and hybrid configurations, to models
in which only mesonic degrees of freedom are taken into account. Nature seems
to come out somewhere in the middle, neither preferring pure bound states, nor
effective meson-meson physics with only coupling constants and possibly form
factors. As a matter of fact, apart from a few exceptions, like pions and
kaons, Nature does not allow us to study mesonic bound states of any kind,
which is equivalent to saying that such states do not really exist. Hence,
instead of extrapolating from pions and kaons to the remainder of the meson
family, it is more democratic to consider pions and kaons mesonic resonances
that happen to come out below the lowest threshold for strong decay.
Nevertheless, confinement is an important ingredient for understanding the many
regularities observed in mesonic spectra. Therefore, excluding quark degrees of
freedom is also not the most obvious way of describing mesons in general, and
scalars and axial-vectors in particular.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:06:23 GMT""},{""version"":""v2"",""created"":""Thu, 19 Oct 2006 13:58:26 GMT""},{""version"":""v3"",""created"":""Fri, 20 Oct 2006 16:19:12 GMT""},{""version"":""v4"",""created"":""Sat, 21 Oct 2006 13:01:48 GMT""},{""version"":""v5"",""created"":""Sat, 17 Feb 2007 17:16:22 GMT""}]","2008-11-26"
"hep-ph/0610200","Ulf-G. Mei{\ss}ner","Ulf-G. Mei{\ss}ner","Some recent developments in chiral perturbation theory","Plenary talk delivered at the 5th International Workshop on Chiral
  Dynamics, Theory and Experiment (CD 2006), September 18 - 22, 2006,
  Durham/Chapel Hill, NC, USA",,,"HISKP-TH-06/35, FZJ-IKP-TH-2006-28","hep-ph",,"  In this talk, I address some recent developments in chiral perturbation
theory at unphysical and physical quark masses.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 13:42:21 GMT""}]","2007-05-23"
"hep-ph/0610201","Akaki Rusetsky","Catalina Curceanu (Petrascu) (LNF-INFN), Akaki Rusetsky (Bonn
  University and Tbilisi University), Eberhard Widmann (Stefan Meier Institute,
  Vienna)","Workshop on exotic hadronic atoms, deeply bound kaonic nuclear states
  and antihydrogen: present results, future challenges","53 pages, 12 postscript figures, Proceedings of the workshop ""Exotic
  hadronic atoms, deeply bound kaonic nuclear states and antihydrogen: present
  results, future challenges,"" 19-24 June 2006, Trento (Italy)",,,"HISKP-TH-06/28","hep-ph",,"  These are the miniproceedings of the workshop ""Exotic hadronic atoms, deeply
bound kaonic nuclear states and antihydrogen: present results, future
challenges,"" which was held at the European Centre for Theoretical Nuclear
Physics and Related Studies (ECT*), Trento (Italy), June 19-24, 2006. The
document includes a short presentation of the topics, the list of participants,
and a short contribution from each speaker.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 14:39:00 GMT""}]","2009-09-29"
"hep-th/0610171","Shunsuke Teraguchi","Shunsuke Teraguchi","Reformulation of Boundary String Field Theory in terms of Boundary State","13 pages","JHEP 0702:017,2007","10.1088/1126-6708/2007/02/017",,"hep-th",,"  We reformulate bosonic boundary string field theory in terms of boundary
state. In our formulation, we can formally perform the integration of target
space equations of motion for arbitrary field configurations without assuming
decoupling of matter and ghost. Thus, we obtain the general form of the action
of bosonic boundary string field theory. This formulation may help us to
understand possible interactions between boundary string field theory and the
closed string sector.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 16:05:16 GMT""}]","2010-10-27"
"hep-th/0610172","Jacek Wosiek","J. Wosiek","Solving some gauge systems at infinite N","23 pages, 7 figures; lecture given at the XLVI Cracow School of
  Theoretical Physics; some typos and references corrected","ActaPhys.Polon.B37:3635-3658,2006",,"TPJU-13/2006","hep-th",,"  After summarizing briefly some numerical results for four-dimensional
supersymmetric SU(2) Yang-Mills quantum mechanics, we review a recent study of
systems with an infinite number of colours. We study in detail a particular
supersymmetric matrix model which exhibits a phase transition, strong-weak
duality, and a rich structure of supersymmetric vacua. In the planar and strong
coupling limits, this field theoretical system is equivalent to a
one-dimensional XXZ Heisenberg chain and, at the same time, to a gas of
$q$-bosons. This not only reveals a hidden supersymmetry in these well-studied
models; it also maps the intricate pattern of our supersymmetic vacua into that
of the now-popular ground states of the XXZ chain.
","[{""version"":""v1"",""created"":""Sun, 15 Oct 2006 19:38:42 GMT""},{""version"":""v2"",""created"":""Sun, 19 Nov 2006 14:46:55 GMT""}]","2008-11-26"
"hep-th/0610174","Somenath Chakrabarty","Somenath Chakrabarty","RHIC Perfect Fluid sQGP- a Landau Chromo-Diamagnetic Liquid","REVTEX 3 pages one .eps figure (included)",,,,"hep-th hep-lat hep-ph nucl-ex nucl-th",,"  We speculate that the quark matter produced at RHIC, behaves like a perfect
fluid may be considered as Landau chromo-diamagnetic material in presence of
color magnetic field. We have shown that in such a system the viscosity
coefficient can be small enough and in the extreme case of ultra-strong color
magnetic field strength, it behaves like a super fluid.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 08:32:39 GMT""}]","2007-05-23"
"hep-th/0610175","Sebastiano Rossi","Christoph A. Keller and Sebastiano Rossi","Boundary states, matrix factorisations and correlation functions for the
  E-models","20 pages, no figures","JHEP 0703:038,2007","10.1088/1126-6708/2007/03/038",,"hep-th",,"  The open string spectra of the B-type D-branes of the N=2 E-models are
calculated. Using these results we match the boundary states to the matrix
factorisations of the corresponding Landau-Ginzburg models. The identification
allows us to calculate specific terms in the effective brane superpotential of
E_6 using conformal field theory methods, thereby enabling us to test results
recently obtained in this context.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 09:28:02 GMT""}]","2010-02-03"
"hep-th/0610176","Steffen Krusch","Steffen Krusch","Quantization of Skyrmions","11 pages, 4 figures",,,,"hep-th",,"  The Skyrme model is a nonlinear classical field theory which models the
strong interaction between atomic nuclei. In order to compare the predictions
of the Skyrme model with nuclear physics, it has to be quantized. We show,
summarizing earlier work, how the rational map ansatz can be employed to
calculate the Finkelstein-Rubinstein constraints which arise during
quantization. Then we give an overview of current results on the quantum ground
states in the Skyrme model. We end with an outlook on future work.
","[{""version"":""v1"",""created"":""Mon, 16 Oct 2006 11:27:14 GMT""}]","2007-05-23"
